Segment,Country,Product,Units,Sales,Datesold
Government,Mexico,Paseo,1197,418950,11/1/14
Midmarket,Mexico,Paseo,380,5700,12/1/13
Government,Mexico,Paseo,1233,24660,12/1/14
Government,Mexico,Velo,1395,488250,7/1/14
Government,United States of America,Velo,986,345100,10/1/14
Government,Mexico,Velo,905,18100,10/1/14
Channel Partners,Canada,VTT,2109,25308,5/1/14
Midmarket,France,VTT,3875,58117.5,7/1/14
Government,Canada,VTT,623,218050,9/1/13
Government,United States of America,VTT,986,345100,10/1/14
Enterprise,United States of America,VTT,2387,298375,11/1/14
Government,Mexico,VTT,1233,24660,12/1/14
Government,United States of America,Amarilla,270,94500,2/1/14
Government,France,Amarilla,3422,23950.5,7/1/14
Government,Canada,Amarilla,2734,19138,10/1/14
Midmarket,United States of America,Amarilla,2548,38220,11/1/13
Government,France,Carretera,2522,50430,1/1/14
Channel Partners,Mexico,Montana,2661,31932,5/1/14
Government,Germany,Paseo,1531,30620,12/1/14
Government,France,VTT,1491,10437,3/1/14
Government,Germany,VTT,1531,30620,12/1/14
Channel Partners,Canada,Amarilla,2761,33132,9/1/13
Midmarket,United States of America,Carretera,2567,38505,6/1/14
Midmarket,United States of America,VTT,2567,38505,6/1/14
Government,Canada,Carretera,923,323050,3/1/14
Government,France,Carretera,1790,626500,3/1/14
Government,Germany,Carretera,442,8840,9/1/13
Government,United States of America,Montana,983,343875,1/1/14
Government,United States of America,Montana,1298,9086,2/1/14
Channel Partners,Mexico,Montana,604,7248,6/1/14
Government,Mexico,Montana,2255,45100,7/1/14
Government,Canada,Montana,1249,24980,10/1/14
Government,United States of America,Paseo,1439,10069.5,1/1/14
Small Business,Germany,Paseo,807,242100,1/1/14
Government,United States of America,Paseo,2641,52820,2/1/14
Government,Germany,Paseo,2708,54160,2/1/14
Government,Canada,Paseo,2632,921200,6/1/14
Enterprise,Canada,Paseo,1583,197875,6/1/14
Channel Partners,Mexico,Paseo,571,6852,7/1/14
Government,France,Paseo,2696,18872,8/1/14
Midmarket,Canada,Paseo,1565,23475,10/1/14
Government,Canada,Paseo,1249,24980,10/1/14
Government,Germany,Paseo,357,124950,11/1/14
Channel Partners,Germany,Paseo,1013,12156,12/1/14
Midmarket,France,Velo,3998,59962.5,1/1/14
Government,Canada,Velo,2632,921200,6/1/14
Government,France,Velo,1190,8330,6/1/14
Channel Partners,Mexico,Velo,604,7248,6/1/14
Midmarket,Germany,Velo,660,9900,9/1/13
Channel Partners,Mexico,Velo,410,4920,10/1/14
Small Business,Mexico,Velo,2605,781500,11/1/13
Channel Partners,Germany,Velo,1013,12156,12/1/14
Enterprise,Canada,VTT,1583,197875,6/1/14
Midmarket,Canada,VTT,1565,23475,10/1/14
Enterprise,Canada,Amarilla,1659,207375,1/1/14
Government,France,Amarilla,1190,8330,6/1/14
Channel Partners,Mexico,Amarilla,410,4920,10/1/14
Channel Partners,Germany,Amarilla,1770,21240,12/1/13
Government,Mexico,Carretera,2579,51580,4/1/14
Government,United States of America,Carretera,1743,34860,5/1/14
Government,United States of America,Carretera,2996,20972,10/1/13
Government,Germany,Carretera,280,1960,12/1/14
Government,France,Montana,293,2051,2/1/14
Government,United States of America,Montana,2996,20972,10/1/13
Midmarket,Germany,Paseo,278,4170,2/1/14
Government,Canada,Paseo,2428,48560,3/1/14
Midmarket,United States of America,Paseo,1767,26505,9/1/14
Channel Partners,France,Paseo,1393,16716,10/1/14
Government,Germany,VTT,280,1960,12/1/14
Channel Partners,France,Amarilla,1393,16716,10/1/14
Channel Partners,United States of America,Amarilla,2015,24180,12/1/13
Small Business,Mexico,Carretera,801,240300,7/1/14
Enterprise,France,Carretera,1023,127875,9/1/13
Small Business,Canada,Carretera,1496,448800,10/1/14
Small Business,United States of America,Carretera,1010,303000,10/1/14
Midmarket,Germany,Carretera,1513,22695,11/1/14
Midmarket,Canada,Carretera,2300,34500,12/1/14
Enterprise,Mexico,Carretera,2821,352625,12/1/13
Government,Canada,Montana,2228,779625,1/1/14
Government,Germany,Montana,1199,419650,4/1/14
Government,Canada,Montana,200,70000,5/1/14
Government,Canada,Montana,388,2716,9/1/14
Government,Mexico,Montana,1727,12089,10/1/13
Midmarket,Canada,Montana,2300,34500,12/1/14
Government,Mexico,Paseo,260,5200,2/1/14
Midmarket,Canada,Paseo,2470,37050,9/1/13
Midmarket,Canada,Paseo,1743,26145,10/1/13
Channel Partners,United States of America,Paseo,2914,34968,10/1/14
Government,France,Paseo,1731,12117,10/1/14
Government,Canada,Paseo,700,245000,11/1/14
Channel Partners,Canada,Paseo,2222,26664,11/1/13
Government,United States of America,Paseo,1177,411950,11/1/14
Government,France,Paseo,1922,672700,11/1/13
Enterprise,Mexico,Velo,1575,196875,2/1/14
Government,United States of America,Velo,606,12120,4/1/14
Small Business,United States of America,Velo,2460,738000,7/1/14
Small Business,Canada,Velo,269,80700,10/1/13
Small Business,Germany,Velo,2536,760800,11/1/13
Government,Mexico,VTT,2903,20321,3/1/14
Small Business,United States of America,VTT,2541,762300,8/1/14
Small Business,Canada,VTT,269,80700,10/1/13
Small Business,Canada,VTT,1496,448800,10/1/14
Small Business,United States of America,VTT,1010,303000,10/1/14
Government,France,VTT,1281,448350,12/1/13
Small Business,Canada,Amarilla,888,266400,3/1/14
Enterprise,United States of America,Amarilla,2844,355500,5/1/14
Channel Partners,France,Amarilla,2475,29700,8/1/14
Midmarket,Canada,Amarilla,1743,26145,10/1/13
Channel Partners,United States of America,Amarilla,2914,34968,10/1/14
Government,France,Amarilla,1731,12117,10/1/14
Government,Mexico,Amarilla,1727,12089,10/1/13
Midmarket,Mexico,Amarilla,1870,28050,11/1/13
Enterprise,France,Carretera,1174,146750,8/1/14
Enterprise,Germany,Carretera,2767,345875,8/1/14
Enterprise,Germany,Carretera,1085,135625,10/1/14
Small Business,Mexico,Montana,546,163800,10/1/14
Government,Germany,Paseo,1158,23160,3/1/14
Midmarket,Canada,Paseo,1614,24210,4/1/14
Government,Mexico,Paseo,2535,17745,4/1/14
Government,Mexico,Paseo,2851,997850,5/1/14
Midmarket,Canada,Paseo,2559,38385,8/1/14
Government,United States of America,Paseo,267,5340,10/1/13
Enterprise,Germany,Paseo,1085,135625,10/1/14
Midmarket,Germany,Paseo,1175,17625,10/1/14
Government,United States of America,Paseo,2007,702450,11/1/13
Government,Mexico,Paseo,2151,752850,11/1/13
Channel Partners,United States of America,Paseo,914,10968,12/1/14
Government,France,Paseo,293,5860,12/1/14
Channel Partners,Mexico,Velo,500,6000,3/1/14
Midmarket,France,Velo,2826,42390,5/1/14
Enterprise,France,Velo,663,82875,9/1/14
Small Business,United States of America,Velo,2574,772200,11/1/13
Enterprise,United States of America,Velo,2438,304750,12/1/13
Channel Partners,United States of America,Velo,914,10968,12/1/14
Government,Canada,VTT,866,17310,7/1/14
Midmarket,Germany,VTT,492,7380,7/1/14
Government,United States of America,VTT,267,5340,10/1/13
Midmarket,Germany,VTT,1175,17625,10/1/14
Enterprise,Canada,VTT,2954,369250,11/1/13
Enterprise,Germany,VTT,552,69000,11/1/14
Government,France,VTT,293,5860,12/1/14
Small Business,France,Amarilla,2475,742500,3/1/14
Small Business,Mexico,Amarilla,546,163800,10/1/14
Government,Mexico,Montana,1368,9576,2/1/14
Government,Canada,Paseo,723,5061,4/1/14
Channel Partners,United States of America,VTT,1806,21672,5/1/14
